PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
4866,363900333,8980,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 156; 313 PPM IN FEED FOR 105 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-355 Y89]"
4867,363900333,8980,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 156; 313 PPM IN FEED FOR 103 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-355 Y89]"
4868,363900333,8980,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Unspecified,,,,RAT,F344/MALE,ORAL,0; 313; 625 PPM IN FEED FOR 103 WK (STUDY DURATION: 106 WK),BRAIN: ASTROCYTOMA OR GLIOMA; LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA OR CARCINOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-355 Y89]"
4869,363900333,8980,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Unspecified,,,,RAT,F344/FEMALE,ORAL,0; 156; 313 PPM IN FEED FOR 103 WK (STUDY DURATION: 106 WK),PITUITARY GLAND: ADENOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-355 Y89]"
4870,363900334,9223,C1=CC=C2C(=C1)C=CO2,Inactive,,,,RAT,F344/MALE,GAVAGE,0; 30; 60 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-370 Y89]"
4871,363900334,9223,C1=CC=C2C(=C1)C=CO2,Active,,,,RAT,F344/FEMALE,GAVAGE,0; 60; 120 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),KIDNEY: TUBULAR CELL ADENOCARCINOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-370 Y89]"
4872,363900334,9223,C1=CC=C2C(=C1)C=CO2,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 60; 120 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),"LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA, ALVEOLAR/BRONCHIOLAR ADENOMA OR CARCINOMA; LIVER: HEPATOCELLULAR ADENOMA, HEPATOCELLULAR ADENOMA OR CARCINOMA, HEPATOBLASTOMA; FORESTOMACH: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-370 Y89]"
4873,363900334,9223,C1=CC=C2C(=C1)C=CO2,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 120; 240 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),"LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA, ALVEOLAR/BRONCHIOLAR CARCINOMA; LIVER: HEPATOCELLULAR ADENOMA, HEPATOCELLULAR ADENOMA OR CARCINOMA; FORESTOMACH: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL PAPILLOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-370 Y89]"
4874,363900335,16724,CC1=CC[C@@H](CC1=O)C(=C)C,Inactive,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 375; 750 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-381 Y90]"
4875,363900335,16724,CC1=CC[C@@H](CC1=O)C(=C)C,Inactive,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 375; 750 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),KIDNEY: TUBULAR CELL ADENOCARCINOMA,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-381 Y90]"
4876,363900336,7922,C1CC(=O)OC1=O,Inactive,,,,RAT,F344/MALE,GAVAGE,0; 50; 100 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-373 Y90]"
4877,363900336,7922,C1CC(=O)OC1=O,Inactive,,,,RAT,F344/FEMALE,GAVAGE,0; 50; 100 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-373 Y90]"
4878,363900336,7922,C1CC(=O)OC1=O,Inactive,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 38; 75 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-373 Y90]"
4879,363900336,7922,C1CC(=O)OC1=O,Inactive,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 75; 150 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-373 Y90]"
4880,363900337,6518,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 25000; 50000 PPM PENTAERYTHRITOL TETRANITRATE (FORMULATED WITH 80% D-LACTOSE MONOHYDRATE) IN FEED FOR 103 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-365 Y89]"
4881,363900337,6518,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 25000; 50000 PPM PENTAERYTHRITOL TETRANITRATE (FORMULATED WITH 80% D-LACTOSE MONOHYDRATE) IN FEED FOR 103 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-365 Y89]"
4882,363900337,6518,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],Unspecified,,,,RAT,F344/MALE,ORAL,0; 25000; 50000 PPM PENTAERYTHRITOL TETRANITRATE (FORMULATED WITH 80% D-LACTOSE MONOHYDRATE) IN FEED FOR 103 WK (STUDY DURATION: 104 WK),"ZYMBAL GLAND: ADENOMA, CARCINOMA",EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-365 Y89]"
4883,363900337,6518,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],Unspecified,,,,RAT,F344/FEMALE,ORAL,0; 6200; 12500 PPM PENTAERYTHRITOL TETRANITRATE (FORMULATED WITH 80% D-LACTOSE MONOHYDRATE) IN FEED FOR 103 WK (STUDY DURATTION: 104 WK),"ZYMBAL GLAND: ADENOMA, CARCINOMA",EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-365 Y89]"
4884,363900338,13806,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 1000; 2000 PPM IN FEED FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-364 Y89]"
4885,363900338,13806,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 500; 1000 PPM IN FEED FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-364 Y89]"
4886,363900338,13806,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],Unspecified,,,,RAT,F344/MALE,ORAL,0; 120; 250 PPM IN FEED FOR 103 WK (STUDY DURATION: 105 WK),INTEGUMENTARY SYSTEM: KERATOACANTHOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-364 Y89]"
4887,363900338,13806,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],Unspecified,,,,RAT,F344/FEMALE,ORAL,0; 120; 250 PPM IN FEED FOR 103 WK (STUDY DURATION: 105 WK),ADRENAL GLAND: PHEOCHROMOCYTOMA OR MALIGNANT PHEOCHROMOCYTOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-364 Y89]"
4888,363900341,62329,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],Active,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 0.075; 0.15% IN DIET FOR 80 WK (STUDY DURATION: 80 WK),LIVER: ADENOMA,POSITIVE,"[MATSUSHIMA,Y, MAEKAWA,A, ONODERA,H, SHIBUTANI,M, YOSHIDA,J, KUROKAWA,Y AND HAYASHI,Y; TOXICITY AND CARCINOGENICITY STUDIES OF MUSK XYLOL IN B6C3F1 MOUSE; EISEI SHIKENSHO HOKOKU (108):89-94, 1990]"
4889,363900341,62329,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],Active,,,,MOUSE,B6C3F1/MALE,ORAL,0; 0.075; 0.15% IN DIET FOR 80 WK (STUDY DURATION: 80 WK),"LIVER: ADENOMA, CARCINOMA; HARDERIAN GLAND: ADENOMA",POSITIVE,"[MATSUSHIMA,Y, MAEKAWA,A, ONODERA,H, SHIBUTANI,M, YOSHIDA,J, KUROKAWA,Y AND HAYASHI,Y; TOXICITY AND CARCINOGENICITY STUDIES OF MUSK XYLOL IN B6C3F1 MOUSE; EISEI SHIKENSHO HOKOKU (108):89-94, 1990]"
4890,363900369,6321380,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N/N=C\3/C(=O)C4=C(C=C3S(=O)(=O)[O-])C=C(C=C4N)S(=O)(=O)[O-])OC)N/N=C\5/C(=O)C6=C(C=C5S(=O)(=O)[O-])C=C(C=C6N)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],Active,,,,RAT,F344/MALE,ORAL,0; 630; 1250; 2500 PPM IN DRINKING WATER FOR 22 MO (STUDY DURATION: 22 MO),"LARGE INTESTINE: ADENOMATOUS POLYP OR ADENOCARCINOMA; LIVER: NEOPLASTIC NODULE OR HEPATOCELLULAR CARCINOMA; ORAL CAVITY (TONGUE OR PHARYNX): SQUAMOUS PAPILLOMA, SQUAMOUS PAPILLOMA OR SQUAMOUS CELL CARCINOMA; PHARYNX: SQUAMOUS PAPILLOMA; PREPUTIAL GLAND: ADENOMA OR CARCINOMA; SKIN: BASAL CELL ADENOMA, BASAL CELL CARCINOMA, SEBACEOUS GLAND ADENOMA, SQUAMOUS PAPILLOMA, SQUAMOUS CARCINOMA; ZYMBAL GLAND: ADENOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-397 Y92]"
4891,363900369,6321380,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N/N=C\3/C(=O)C4=C(C=C3S(=O)(=O)[O-])C=C(C=C4N)S(=O)(=O)[O-])OC)N/N=C\5/C(=O)C6=C(C=C5S(=O)(=O)[O-])C=C(C=C6N)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],Active,,,,RAT,F344/FEMALE,ORAL,0; 630; 1250; 2500 PPM IN DRINKING WATER FOR 22 MO (STUDY DURATION: 22 MO),"CLITORAL GLAND: ADENOMA, CARCINOMA; LIVER: NEOPLASTIC NODULE OR HEPATOCELLULAR CARCINOMA; ORAL CAVITY (TONGUE OR PHARYNX): SQUAMOUS PAPILLOMA: SQUAMOUS CELL CARCINOMA; PHARYNX: SQUAMOUS PAPILLOMA; SKIN: SQUAMOUS PAPILLOMA, SQUAMOUS PAPILLOMA OR SQUAMOUS CELL CARCINOMA; SMALL INTESTINE: ADENOCARCINOMA; TONGUE: SQUAMOUS PAPILLOMA OR SQUAMOUS CELL CARCINOMA; UTERUS: ADENOMA OR ADENOCARCINOMA; ZYMBAL'S GLAND: CARCINOMA; HEMATOPOIETIC SYSTEM: LEUKEMIA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-397 Y92]"
4892,363900373,22960,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)N=NC3=C(C=C(C=C3)C4=CC(=C(C=C4)N=NC5=C(C=CC6=CC(=CC(=C65)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)C.[Na+].[Na+],Active,,,,RAT,F344/MALE,ORAL,0; 70; 150; 300 PPM IN DRINKING WATER 7 D/WK FOR 104 WK (STUDY DURATION: 104 WK),"LIVER: NEOPLASTIC NODULE OR HEPATOCELLULAR CARCINOMA; SKIN: BASAL CELL ADENOMA, BASAL CELL CARCINOMA, KERATOACANTHOMA, SQUAMOUS CELL PAPILLOMA OR CARCINOMA, SEBACEOUS GLAND ADENOMA OR CARCINOMA; ZYMBAL'S GLAND: ADENOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-405 Y91]"
4893,363900373,22960,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)N=NC3=C(C=C(C=C3)C4=CC(=C(C=C4)N=NC5=C(C=CC6=CC(=CC(=C65)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)C.[Na+].[Na+],Active,,,,RAT,F344/FEMALE,ORAL,0; 150; 300; 600 PPM IN DRINKING WATER 7 D/WK FOR 104 WK (STUDY DURATION: 104 WK),"CLITORAL GLAND: ADENOMA OR CARCINOMA; LIVER: NEOPLASTIC NODULE OR HEPATOCELLULAR CARCINOMA; LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA OR CARCINOMA; ORAL CAVITY (PHARYNX AND TONGUE): SQUAMOUS CELL PAPILLOMA OR CARCINOMA; SKIN: BASAL CELL ADENOMA OR CARCINOMA; ZYMBAL'S GLAND: ADENOMA, CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-405 Y91]"
4894,363900377,135442941,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)[O-])O.[Na+],Inactive,,,,MOUSE,SWISS-WEBSTER/MALE,DERMAL,0; 1% IN 0.1 ML DISTILLED WATER 1/WK FOR 18 MO (STUDY DURATION: 18 MO),,NEGATIVE,"[CARSON,S; SKIN PAINTING STUDIES IN MICE ON 11 FD&C AND D&C COLORS: FD&C GREEN NO. 3, RED NO. 2, RED NO. 4, YELLOW NO. 6, AND EXTERNAL D&C NO. 7, D&C ORANGE NO. 4, VIOLET NO. 2, RED NO. 17, RED NO. 34, AND YELLOW NO. 7; J. TOXICOL., CUTANEOUS OCUL. TOXICOL. 3(3):309-331, 1984]"
4895,363900377,135442941,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)[O-])O.[Na+],Inactive,,,,MOUSE,SWISS-WEBSTER/FEMALE,DERMAL,0; 1% IN 0.1 ML DISTILLED WATER 1/WK FOR 18 MO (STUDY DURATION: 18 MO),,NEGATIVE,"[CARSON,S; SKIN PAINTING STUDIES IN MICE ON 11 FD&C AND D&C COLORS: FD&C GREEN NO. 3, RED NO. 2, RED NO. 4, YELLOW NO. 6, AND EXTERNAL D&C NO. 7, D&C ORANGE NO. 4, VIOLET NO. 2, RED NO. 17, RED NO. 34, AND YELLOW NO. 7; J. TOXICOL., CUTANEOUS OCUL. TOXICOL. 3(3):309-331, 1984]"
4896,363900378,135487615,C1=CC=C2C(=C1)C=CC(=C2N=NC3=C(C4=CC=CC=C4C=C3)S(=O)(=O)[O-])O.[Na+],Inactive,,,,MOUSE,ICR/MALE,DERMAL,0; 1 MG IN 0.1 ML DISTILLED WATER 2/WK FOR A MEAN TOTAL DOSE OF 128.1 MG (STUDY DURATION: 18 MO),,NEGATIVE,"[CARSON,S; SKIN PAINTING STUDIES IN MICE WITH 14 FD & C AND D & C COLORS: FD & C BLUE NO. 1, RED NO. 3, AND YELLOW NO. 5, D & C RED NO. 7, RED NO. 9, RED NO. 10, RED NO. 19, RED NO. 21, RED NO. 27, RED NO.31, RED NO. 36, ORANGE NO. 5, ORANGE NO. 10, AND ORANGE NO. 17; J. TOXICOL. CUTANEOUS. OCUL. TOXICOL. 3(4):357-370, 1984]"
4897,363900378,135487615,C1=CC=C2C(=C1)C=CC(=C2N=NC3=C(C4=CC=CC=C4C=C3)S(=O)(=O)[O-])O.[Na+],Inactive,,,,MOUSE,ICR/FEMALE,DERMAL,0; 1 MG IN 0.1 ML DISTILLED WATER 2/WK FOR A MEAN TOTAL DOSE OF 128.1 MG (STUDY DURATION: 18 MO),,NEGATIVE,"[CARSON,S; SKIN PAINTING STUDIES IN MICE WITH 14 FD & C AND D & C COLORS: FD & C BLUE NO. 1, RED NO. 3, AND YELLOW NO. 5, D & C RED NO. 7, RED NO. 9, RED NO. 10, RED NO. 19, RED NO. 21, RED NO. 27, RED NO.31, RED NO. 36, ORANGE NO. 5, ORANGE NO. 10, AND ORANGE NO. 17; J. TOXICOL. CUTANEOUS. OCUL. TOXICOL. 3(4):357-370, 1984]"
4898,363900383,50961,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C(C=CC(=C54)C=C3)[N+](=O)[O-],Inactive,,,,RAT,F344/MALE,SUBCUTANEOUS,0; 500; 1000 UG SUSPENDED IN BEESWAX/TRICAPRYLIN (1:1) ONCE (STUDY DURATION: LIFETIME),,NEGATIVE,"[HORIKAWA,K, SERA,N, MURAKAMI,K, SANO,N, IZUMI,K AND TOKIWA,H; COMPARATIVE TUMORIGENICITY OF 1- AND 3-NITROBENZO[A]PYRENES, AND 3,6- AND 1,6-DINITROBENZO[A]PYRENES IN F344/DUCRJ RATS; TOXICOL. LETT. 98(1-2):51-58, 1998]"
4899,363900383,50961,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C(C=CC(=C54)C=C3)[N+](=O)[O-],Inactive,,,,MOUSE,B6C3F1/MALE,INTRAPERITONEAL,"0; 400 NMOL IN 35 UL DMSO ON DAYS 1 (1/7 TOTAL DOSE), 8 (2/7 TOTAL DOSE), AND 15 (4/7 TOTAL DOSE) AFTER BIRTH (STUDY DURATION: 12 MONTHS)",,NEGATIVE,"[VON TUNGELN,LS XIA,Q HERRENO-SAENZ,D BUCCI,TJ HELFLICH,RH AND FU,PP; TUMORIGENICITY OF NITROPOLYCYCLIC AROMATIC HYDROCARBONS IN THE NEONATAL B6C3F1 MOUSE BIOASSAY AND CHARACTERIZATION OF RAS MUTATIONS IN LIVER TUMORS FROM TREATED MICE; CANCER LETT. (SHANNON, IREL.) 146(1):1-7, 1999]"
4900,363900384,44374,C1=CC=C2C(=C1)C3=C4C(=C2[N+](=O)[O-])C=CC5=CC=CC(=C54)C=C3,Inactive,,,,MOUSE,ICR/MALE,INTRAPERITONEAL,"0; 14 UG TOTAL DOSE (2 UG/5 UL, 4 UG/10 UL, 8 UG/20 UL DMSO ON DAYS 1,8 AND 15); 70 UG TOTAL DOSE (10 UG/5 UL, 20 UG/10 UL, 40 UG/20 UL DMSO ON DAYS 1, 8 AND 15) ADMINISTERED TO NEWBORN ANIMALS (STUDY DURATION: 6 MO)",,NEGATIVE,"[BUSBY,WF JR, STEVENS,EK, MARTIN,CN, CHOW,FL AND GARNER,RC; COMPARATIVE LUNG TUMORIGENICITY OF PARENT AND MONONITRO-POLYNUCLEAR AROMATIC HYDROCARBONS IN THE BLU:HA NEWBORN MOUSE ASSAY; TOXICOL. APPL. PHARMACOL. 99(3):555-563, 1989]"
4901,363900384,44374,C1=CC=C2C(=C1)C3=C4C(=C2[N+](=O)[O-])C=CC5=CC=CC(=C54)C=C3,Inactive,,,,MOUSE,ICR/FEMALE,INTRAPERITONEAL,"0; 14 UG TOTAL DOSE (2 UG/5 UL, 4 UG/10 UL, 8 UG/20 UL DMSO ON DAYS 1,8 AND 15); 70 UG TOTAL DOSE (10 UG/5 UL, 20 UG/10 UL, 40 UG/20 UL DMSO ON DAYS 1, 8 AND 15) ADMINISTERED TO NEWBORN ANIMALS (STUDY DURATION: 6 MO)",,NEGATIVE,"[BUSBY,WF JR, STEVENS,EK, MARTIN,CN, CHOW,FL AND GARNER,RC; COMPARATIVE LUNG TUMORIGENICITY OF PARENT AND MONONITRO-POLYNUCLEAR AROMATIC HYDROCARBONS IN THE BLU:HA NEWBORN MOUSE ASSAY; TOXICOL. APPL. PHARMACOL. 99(3):555-563, 1989]"
4902,363900396,9916275,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],Inactive,,,,RAT,F344/MALE,ORAL,0; 2.5; 5% IN DIET FOR 106 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[KONISHI,N, KITAHORI,Y, NISHIOKA,H, YANE,K AND HIASA,Y; CARCINOGENICITY TESTING OF FOOD RED NO. 106 (ACID RED) IN FISCHER 344 RATS; J. TOXICOL. PATHOL. 5(2): 157-165, 1992]"
4903,363900396,9916275,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],Inactive,,,,RAT,F344/FEMALE,ORAL,0; 2.5; 5% IN DIET FOR 106 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[KONISHI,N, KITAHORI,Y, NISHIOKA,H, YANE,K AND HIASA,Y; CARCINOGENICITY TESTING OF FOOD RED NO. 106 (ACID RED) IN FISCHER 344 RATS; J. TOXICOL. PATHOL. 5(2): 157-165, 1992]"
4904,363900397,15531,C1=C(C=C(C(=C1Br)O)Br)C#N,Active,,,,Mouse,Crl:CD-1 (ICR)BR VAF/Plus/Male (60/sex/group),Oral,0; 20; 75; 300 ppm in feed for 78-80 wk,Liver: Hepatocellular adenoma and carcinoma combined (5/60; 16/60; 12/60; 23/60),Positive; Purity 94.4%,"[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR BROMOXYNIL OCTANOATE, BROMOXYNIL (AUGUST 11, 2005)]"
